Description,Type,Version 8 Alias,Version 8 Program,Version 6 Name,Program Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Sales Order Processing,M,,,,,,,,,,
Order Entry,T,OPE_ORDHDR,,OPE.DA,Entry/Init,WIP-JPB,,,,,
,T,,,OPE.DB,Entry/Heading,WIP-JPB,,,,,
,T,,,OPE.DC,Entry/Ribbon,WIP-JPB,,,,,
,T,,,OPE.DD,Entry/Detail,WIP-JPB,,,,,
,T,,,OPE.DE,Entry/Totals,WIP-JPB,,,,,
,T,,,OPE.DF,Entry/Credit Check,WIP-JPB,,,,,
,T,,,OPE.DG,Entry/Customer,WIP-JPB,,,,,
Order Picking Listing,T,OPR_ODERPICKLST,,OPR.NA,Input,,SS-BP,,,,OPR.PA 20Aug mods
,T,,,OPR.PA,Report,,SS-BP,SV-BP(04/02/2008),needs?,,
Commit and Release Future Orders,T,,,OPU.EA,Update,,SS-BP,,,,20Aug mods
Invoice Entry,T,,,OPE.CA,Lead Overlay,,,,,,
,T,,,OPE.CB,Entry/Header,,,,,,
,T,,,OPE.CC,Entry/Ribbon,,,,,,
,T,,,OPE.CD,Entry/Detail,,,,,,
,T,,,OPE.CE,Entry/Totals,,,,,,,,,,,,,,,,
Invoice Edit Report,T,OPR_INVOICEEDIT,,OPR.JA/JB,Input/Report Overlay,,SS-BP,SV-BP(03/11/2008),Done SV-BP,,OPR.JB20Aug mods; Alias Version OPR_INVEDIT chnged as OPR_INVOICEEDIT in print priview testing time.,,,,,,,,,"Avoided the use of  columns$[i,10]=""T"" for some columns since it  makes the 'pdf' reports very ugly.",
Invoice Printing,T,OPR_INVOICE,,OPR.GA,Report,,SS-BP,,,,20Aug mods,,,,,,,,,,
Sales Register,T,OPR_SALESREG,,OPR.HA/HB/HC,Input/Register,,SS-BP,SV-BP(04/11/2008),Done SV-BP,,OPR.HB 20Aug mods,,,,,,,,,,
,T,,,OPU.CA/CB,Update,,SV-BP,,,,,,,,,,,,,,
Price Quotation Inquiry,T,,,OPM.PA,Inquiry,,,,,,,,,,,,,,,,
Credit Manager's Review and Release,T,,,ARM.QA,Entry/Inquiry?,,,,,,,,,,,,,,,,
Reports,G,,,,,,,,,,,,,,,,,,,,
Open Order Detail Report,T,OPR_OPNORDDETAIL,,OPR.IA/IB,Input/Report Overlay,,SS-BP,SV-BP(02/26/2008),Done SV-BP,,OPR.IB 20Aug mods;Alias Version OPR_DETAIL chnged as OPR_OPNORDDETAIL in print priview testing time,,,,,,,,,"The use of  columns$[i,10]=""T"" for some columns , it  makes the 'pdf' reports very ugly.",
Order Status Report By Customer,T,OPR_ORDERSTATUS,,OPR.QA,Report,,SS-BP,SV-BP(02/26/2008),Done SV-BP,,20Aug mods;Alias Version OPR_CUSTSTATUS changed as OPR_ORDERSTATUS in print priview testing time,,,,,,,,,,
Order Status Report By Item,T,OPR_ODERSTATITEM,,OPR.OA/OB,Input/Report Overlay,,SS-BP,SV-BP(03/19/2008),Done SV-BP,,OPR.OB 20Aug mods;Alias Version OPR_ITEMSTATUS changed as OPR_ODERSTATITEM in print priview testing time,,,,,,,,,,"The use of  columns$[i,10]=""T"" for some columns , it  makes the 'pdf' reports very ugly."
Shipping Schedule Report,T,OPR_SHIPPINGR,,OPR.AA/AB,Input/Report Overlay,,SS-BP,SV-BP(03/28/2008),Done SV-BP,,OPR.AB 20Aug mods;Alias Version OPR_SHIPPING changed as OPR_SHIPPINGR in print priview testing time,,,,,,,,,,
Customer Job Report,T,OPR_CUSTJOBS,,OPR.FA/FB,Input/Report Overlay,,SS-BP,SV-BP(02/15/2008),Done SV-BP,,OPR.FB 20Aug mods,,,,,,,,,,
Sales Tax Report,T,OPR_SALESTAX,,OPR.TA,Report,,SS-BP,cmac/lz(03/24/08),Done SV-BP,,20Aug mods,,,,,,,,,,
Monthly Sales Report,T,,,OPR.EA/EB,Input/Report Overlay,,SS-BP,SV-BP(02/15/2008),Done SV-BP,,OPR.EB 20Aug mods,,,,,,,,,,
Invoice History Report,T,,,OPR.KA/KB,Input/Report Overlay,,SS-BP,SV-BP(05/12/2008),Done SV-BP,,OPR.KB 20Aug mods,"The use of  columns$[i,10]=""T"" for some columns , it  makes the 'pdf' reports very ugly.",,,,,,,,,
Period End Processing,G,,,,,,,,,,,
Sales Tax Report,T,OPR_SALESTAX,,OPR.TA,Report,,SS-BP,cmac/lz(03/24/08),Done SV-BP,,20Aug mods,
Sales Tax History Purge,T,,,OPU.FA,Update,,SS-BP,,,,20Aug mods,
Salesperson Commission Report,T,OPR_SALESCOMM,,OPR.MA/MB,Input/Report Overlay,,SS-BP,Chawkins,Done SV-BP,,OPR.MB 20Aug mods,
Commission File Purge,T,,,OPU.AA/AB,Input/Report Overlay,,SS-BP,,,,OPU.AB 20Aug mods,
Monthly Sales Report,T,OPR_MONTHSALES,,OPR.EA/EB,Input/Report Overlay,,SS-BP,SV-BP(02/15/2008),Done SV-BP,,20Aug mods,
Monthly Sales Register,T,OPR_SALESREGR,,OPR.ZA/ZB,Input/Report Overlay,,SS-BP,SV-BP(03/28/2008),Done SV-BP,,OPR.ZB 20Aug mods;Alias Version OPR_MONTHREG changed as OPR_SALESREGR in print priview testing time,
Invoice History Report,T,OPR_HISTORY,,OPR.KA/KB,Input/Report Overlay,,SS-BP,SV-BP(05/12/2008),Done SV-BP,,20Aug mods,"The use of  columns$[i,10]=""T"" for some columns , it  makes the 'pdf' reports very ugly."
Invoice History Purge,T,,,OPU.DA,Update,,SS-BP,,,,20Aug mods,
Maintenance,G,,,,,,,,,,,
Line Codes,T,OPC_LINECODE,,OPM.EA,Entry,Done-JB,,,,,JCM 20Aug mods,
Salespersons,T,ARC_SALECODE,,ARM.FA,Entry,Done-JB,,,,,This is duplicate.   See AR section.,
Territory Codes,T,ARC_TERRCODE,,ARM.HA,Entry,Done-JB,,,,,This is duplicate.   See AR section.,
Tax Codes,T,OPC_TAXCODE,,ARM.JA,Entry,Done-JB,,,,,JCM,
Sales Discount Codes,T,OPC_DISCCODE,,ARM.IA,Entry,CLT,,,,,Col D Change,
Standard Message Header,T,OPC_MSG_HDR,,ARM.GA,Entry,Done-JB,,,,,,
Customer Price Codes,T,OPC_PRICECDS,,OPM.DA,Entry,Done-JB,
Pricing Table,T,,,OPM.CA,Entry,Done-JB,
Contract Pricing,T,IVM_ITEMPRIC,,OPM.BA,Entry,Done-JB,
Freight Terms Codes,T,OPM_FRTTERMS,,OPM.FA,Entry,Done-JB,
Parameters,G,,,,,,
Application Parameters,T,,,OPP.AA/AB,Entry,Done-JB,
Credit Management Parameters,T,OPS_CREDIT,,OPP.AC,Entry,Done - JB,
New Customer Defaults,T,,,OPP.AA/AB,Entry,Done - JB,
Utilities,G,,,,,,
Rebuild Open Order Cross References,T,OPX_CROSSREF,,OPX.DA,Not using in v8,,
Rebuild Invoice History Cross References,T,OPX_HISTXREF,,OPX.GA,Not using in v8,,
Remove Unlinked Detail Lines,T,OPX_UNLINKED,,OPX.EA,Update,,Done SV-BP
Rebuild Order/Invoice Print File,T,OPX_PRNTFILE,,OPX.FA,Update,,Done SV-BP
Reset MTD and Next Month Totals,T,OPX_MTDNMTD,,OPX.AA,Entry,,
Order Processing Publics,G,,,,,,
Credit Management Status Display,P,,,OPC.CA,Public,,Done SV-BP
Get Default Scheduled Ship/Inventory Commit Date,P,,,OPC.DA,Public,,Done SV-BP
Order Entry Additional Options Window,P,,,OPC.DD,Public,,Done SV-BP
Order/Invoice Entry (Lot/Serial Number Input),P,,,OPC.DH,Public,,Done SV-BP
Price and Availability Display,P,,,OPC.PA,Public,,Done SV-BP
Item Price Calculation,P,,,OPC.PC,Public,,Done SV-BP
Print Ribbon Background/Data,P,,,OPC.PR,Public,,Done SV-BP
